Dorsal,Nombre,Posicion,Altura,Ano_de_nacimiento,Alcance_en_ataque,Alcance_en_bloqueo,id_jugador,temporada,id_equipo
12,Fuentes Rascon Mauro Isaac,Receptor,192.0,1997,352.0,340.0,24-2022-2023,2022-2023,2-2022-2023
14,Osorio Recorda Gerard,Opuesto,202.0,1993,347.0,333.0,25-2022-2023,2022-2023,2-2022-2023
16,Valino Sanz Isaac,Receptor,192.0,1999,335.0,320.0,26-2022-2023,2022-2023,2-2022-2023
18,Carabali Kevin Alexander,Middle-blocker,204.0,1995,360.0,350.0,27-2022-2023,2022-2023,2-2022-2023
19,Cid Cadenas Mario,Receptor,195.0,2003,345.0,328.0,28-2022-2023,2022-2023,2-2022-2023
30,Marin Nieda Juan Francisco,Opuesto,193.0,2002,345.0,332.0,29-2022-2023,2022-2023,2-2022-2023
0,Fernandez Martinez Francisco Jose,Receptor,0.0,1995,0.0,0.0,30-2022-2023,2022-2023,3-2022-2023
0,Moreno Manas Antonio,0,0.0,1987,0.0,0.0,31-2022-2023,2022-2023,3-2022-2023
1,Reboredo Coronado Miguel,Receptor,185.0,2001,0.0,0.0,32-2022-2023,2022-2023,3-2022-2023
2,Garcias Millas Joan Miquel,Libero,180.0,2002,0.0,0.0,33-2022-2023,2022-2023,3-2022-2023
3,Gallego Sanchez Miguel,Colocador/a,0.0,1982,0.0,0.0,34-2022-2023,2022-2023,3-2022-2023
5,Sanchez Coll Javier,Colocador/a,190.0,2001,0.0,0.0,35-2022-2023,2022-2023,3-2022-2023
6,Bernal Bravo Abel,Middle-blocker,198.0,1981,0.0,0.0,36-2022-2023,2022-2023,3-2022-2023
7,De la Rosa Canellas Antonio,Opuesto,196.0,2002,0.0,0.0,37-2022-2023,2022-2023,3-2022-2023
8,Osado Carrasco Jose,Libero,175.0,1997,0.0,0.0,38-2022-2023,2022-2023,3-2022-2023
9,Riera Granada Adrian,Libero,180.0,2002,0.0,0.0,39-2022-2023,2022-2023,3-2022-2023
10,Amador Romaguera Sergio,Receptor,190.0,2004,0.0,0.0,40-2022-2023,2022-2023,3-2022-2023
11,Cairus Renzo,Receptor,190.0,1990,0.0,0.0,41-2022-2023,2022-2023,3-2022-2023
12,Palacios Santos Cristian,Middle-blocker,0.0,1993,0.0,0.0,42-2022-2023,2022-2023,3-2022-2023
13,Arranz Boyero Sergi,Colocador/a,187.0,1990,0.0,0.0,43-2022-2023,2022-2023,3-2022-2023
14,Liot Tom,Colocador/a,0.0,1998,0.0,0.0,44-2022-2023,2022-2023,3-2022-2023
16,Fresquet Barcelo Xavier,Middle-blocker,200.0,2003,0.0,0.0,45-2022-2023,2022-2023,3-2022-2023
17,Folguera Xavier,Colocador/a,180.0,1988,0.0,0.0,46-2022-2023,2022-2023,3-2022-2023
23,Bauza Mestre Josep,Receptor,178.0,2000,0.0,0.0,47-2022-2023,2022-2023,3-2022-2023
34,De Carvalho Furtado Carlos Manuel,Middle-blocker,203.0,1995,0.0,0.0,48-2022-2023,2022-2023,3-2022-2023
77,Fernandez Rodriguez Francisco,Receptor,0.0,1996,0.0,0.0,49-2022-2023,2022-2023,3-2022-2023
1,Pont Perello Guillem,Colocador/a,178.0,2002,0.0,0.0,50-2022-2023,2022-2023,4-2022-2023
2,Chourio Gonzalez Anderson Jose,Opuesto,198.0,1986,0.0,0.0,51-2022-2023,2022-2023,4-2022-2023
3,Morato Noguer Ferran,Receptor,193.0,1993,0.0,0.0,52-2022-2023,2022-2023,4-2022-2023
4,Truyols Galmes Llorenc,Opuesto,189.0,2003,0.0,0.0,53-2022-2023,2022-2023,4-2022-2023
5,Salerno Aguirre Hector Leonardo Javier,Receptor,198.0,1991,0.0,0.0,54-2022-2023,2022-2023,4-2022-2023
6,Piris Guiscafre Antoni,Libero,180.0,2001,0.0,0.0,55-2022-2023,2022-2023,4-2022-2023
7,Filter Albrecht Caetano,Receptor,190.0,1995,0.0,0.0,56-2022-2023,2022-2023,4-2022-2023
10,Ribas Brockert Alejandro,Middle-blocker,197.0,2004,0.0,0.0,57-2022-2023,2022-2023,4-2022-2023
14,Allen Serrano Luis Vidal,Middle-blocker,200.0,2001,0.0,0.0,58-2022-2023,2022-2023,4-2022-2023
16,Monteagudo del Pueblo Joaquin,Middle-blocker,198.0,1996,0.0,0.0,59-2022-2023,2022-2023,4-2022-2023
18,Gibanel Galmes Sebastia,Libero,180.0,2000,0.0,0.0,60-2022-2023,2022-2023,4-2022-2023
21,Martin Perez Cesar,Colocador/a,185.0,1995,0.0,0.0,61-2022-2023,2022-2023,4-2022-2023
1,Fernandez Rojas Alejandro,Libero,183.0,1987,320.0,300.0,62-2022-2023,2022-2023,5-2022-2023
3,Escobar Silvaa Yadrian,Opuesto,201.0,1988,330.0,310.0,63-2022-2023,2022-2023,5-2022-2023
4,Ruiz Daniel,Libero,191.0,1995,300.0,300.0,64-2022-2023,2022-2023,5-2022-2023
5,Olalla Gomez Adrian,Opuesto,197.0,2001,320.0,310.0,65-2022-2023,2022-2023,5-2022-2023
7,de Amo Miguel Angel,Colocador/a,185.0,1985,300.0,300.0,66-2022-2023,2022-2023,5-2022-2023
